IID	SEX	PC1	PC2	PC3
samp_g0_0	0	-0.39685955341323176	0.2889831679121578	-0.8679818290886923
samp_g0_1	0	0.13848280865145043	0.01806209504650882	-2.306213519003158
samp_g0_10	0	-2.509864602970837	0.968327377492756	0.898160328523434
samp_g0_11	1	1.8492956554479156	-1.6194640697581915	0.3628670853046765
samp_g0_12	0	-1.591503484057424	0.9422453985996131	-0.49793384000451246
samp_g0_13	1	-0.6585337135299951	0.8170680105603632	1.1545482562159024
samp_g0_14	0	1.3201525218664876	-0.5840676017787131	-0.16892215285662648
samp_g0_15	0	-2.1812901705630465	-0.13986362100515953	-0.5910184491105975
samp_g0_16	0	-0.08995909233937727	0.5558252555473167	-0.9631227670987668
samp_g0_17	1	1.438076220149141	-0.6040255974916698	-0.3833700919878603
samp_g0_18	1	-0.4243175182148998	1.2446349386306703	-1.095899003281909
samp_g0_19	0	-0.9922804053943349	0.4567846704415403	-0.19494543528822117
samp_g0_2	0	1.191693856484114	-1.445859008903569	0.36731149336952074
samp_g0_20	1	-1.3418446282620982	2.2388183972103417	-1.5478334463161743
samp_g0_21	1	0.80332337651283	-0.07723747651996501	-0.5227228523598577
samp_g0_22	0	1.0888216255151593	-0.2556451512056242	-0.8605720793738039
samp_g0_23	1	-0.7955185606048164	-1.548750915471083	1.199425321504005
samp_g0_24	0	-0.6147121226466885	1.033695225865822	-1.1319154922200436
samp_g0_25	1	0.2131843601176944	-0.9909671556755343	-1.0043293643344973
samp_g0_26	1	-0.3374025536415032	-1.7300397393634699	1.3681539330204715
samp_g0_27	1	-1.1816523252325377	1.2649980070471043	0.10449014288024511
samp_g0_28	1	0.5959373928350157	0.6796383795570154	-0.3609131340602968
samp_g0_29	1	-0.9731468315460354	0.7145151938420381	-1.8658186382390791
samp_g0_3	1	1.4795161110348547	1.749193227269249	-0.6510821303146708
samp_g0_30	1	-2.3405203032141833	0.6608352613235954	-0.9070584339401191
samp_g0_31	1	1.3870282474589133	1.0288690568593983	-0.15757287015837218
samp_g0_32	0	0.39078314893227295	0.8502659371238698	0.5013491105088079
samp_g0_33	1	2.2752082394060618	0.7228887806333869	1.1917915765749176
samp_g0_34	0	-1.712667919503372	-0.023657502880004753	-0.319525101593564
samp_g0_35	1	-1.3658852234687975	-0.8825084145441623	-0.2948877676461362
samp_g0_36	0	-2.212451408318852	-1.2239340288824068	2.336967974149128
samp_g0_37	0	1.195342938097772	0.702156823894811	-1.430142079626582
samp_g0_38	1	0.7014400641661723	0.6785944989599931	-0.11572142124948816
samp_g0_39	0	0.5417272837869167	-0.9949649549926993	-0.16830153080540083
samp_g0_4	1	-0.08929067806998182	-1.137181616884217	-0.42066102489460916
samp_g0_40	1	-0.6281152405018685	-1.072341503760085	0.06879475734110754
samp_g0_41	0	-1.9862483836442053	0.23836168214403528	1.1162940135860522
samp_g0_42	1	-0.9527420898344505	-0.5448390984242442	-0.6855004143191354
samp_g0_43	1	0.8934632451526993	-0.7254447650638954	-1.8556573599800952
samp_g0_44	1	-0.1502886925811549	-1.1420402644342844	-0.3767384785801901
samp_g0_45	0	-0.017977460915668566	-0.6428771717023161	0.3821689945877866
samp_g0_46	0	-1.5329208557745027	-0.6231898822065151	-0.31531815777537725
samp_g0_47	0	-0.41980989307947	0.3531455092042722	-1.0757469471801373
samp_g0_48	0	0.9415523942818206	1.5902226782616142	-0.27974615039288886
samp_g0_49	0	0.20979577630656193	0.2809024049534304	-0.7245459820839573
samp_g0_5	1	2.7512152340271454	0.29122867530021534	1.10174566472995
samp_g0_50	1	-0.34999758756322474	-0.7426635402318086	0.1445150949094093
samp_g0_51	0	-0.5433024952840666	-0.09691019715986438	0.5160605636432755
samp_g0_52	1	-0.9878547689892472	-0.2720884289927463	-0.307268712684427
samp_g0_53	0	-1.050475817576953	1.7833211059290106	1.242622135379245
samp_g0_54	1	-0.14950479231438651	0.7564119190853186	-0.48212058398845503
samp_g0_55	1	-1.3183697680209205	0.8802318838675605	1.7350422595579285
samp_g0_56	0	0.7683913999298667	-0.3185765816978677	-0.923588423489171
samp_g0_57	0	0.09431084761056964	-0.5863124448729649	0.36077998946497025
samp_g0_58	1	-0.3242361442703558	0.7646453310317445	0.0860792491820127
samp_g0_59	1	0.6251511274269022	0.10057780804577351	1.7723523140643411
samp_g0_6	0	0.21457970343144325	0.27934279775254156	-0.28931247665783
samp_g0_60	0	0.22352264233810112	-0.009440206078920854	0.169818341572795
samp_g0_61	0	0.3430137805142008	1.1022509272415533	-0.6398449677463612
samp_g0_62	0	-0.8654696778098285	0.6049691125224687	1.0767241334162443
samp_g0_63	1	-1.600323303841346	1.3281384901199098	1.437666208688132
samp_g0_64	0	-0.9139645525991653	0.7101293266759658	0.09431925389052853
samp_g0_65	0	0.2811224695194181	-0.7228747790245635	1.290254452148797
samp_g0_66	1	-0.6293523305816751	-1.585596124950091	-0.40208501732189683
samp_g0_67	1	1.4008524103157285	-0.42955965386975137	-0.5270962075445929
samp_g0_68	0	1.360720513612084	-0.694472943353365	-0.359699796903446
samp_g0_69	0	2.025828636135579	-0.4995580448108475	0.9907060751417437
samp_g0_7	0	0.9045165667427446	-0.5950447060877166	-0.013210707668435285
samp_g0_70	1	0.30091760387725913	0.4299411495387585	-1.2514308037040556
samp_g0_71	1	1.3111728397249274	0.27347403490104044	0.388198570412496
samp_g0_72	0	0.38667338749872804	1.9529479091091957	0.2414764016128407
samp_g0_73	1	1.202562997462289	-0.15101757374848257	-1.0438228685214668
samp_g0_74	1	0.9887431034903202	0.010654110439849688	-0.9098013050923699
